rank,player_id,player_name,team_name,competition_name,season_name,competition_id,season_id,n_pressing_events,pap_score,pap_percentile,success_rate,expected_success,avg_difficulty,top_pressure_zone
82,5204,Bruno Miguel Borges Fernandes,Portugal,UEFA Euro,2024,55,282,209,-0.00035051002240726734,46.0,0.4354066985645933,0.43575720858700057,0.5642427914129995,final_third
83,38718,Enzo Fernandez,Argentina,FIFA World Cup,2022,43,106,101,-0.0005550161249179868,45.3,0.4158415841584158,0.4163966002833338,0.5836033997166662,final_third
84,7039,Hakan Çalhanoğlu,Turkey,UEFA Euro,2020,55,43,149,-0.001651444602386739,44.7,0.4429530201342282,0.44460446473661497,0.555395535263385,final_third
85,30486,Pedro González López,Spain,UEFA Euro,2020,55,43,399,-0.0021358678822963545,44.0,0.42606516290726815,0.4282010307895645,0.5717989692104355,final_third
86,3382,Luke Shaw,England,UEFA Euro,2020,55,43,238,-0.0023927723079843724,43.3,0.47058823529411764,0.472981007602102,0.5270189923978981,left_half_space
87,8815,Jannik Vestergaard,Denmark,UEFA Euro,2020,55,43,115,-0.0038137065267901922,42.7,0.5304347826086957,0.5342484891354858,0.46575151086451416,final_third
88,5469,Marcelo Brozović,Croatia,FIFA World Cup,2022,43,106,284,-0.004218397465552396,42.0,0.4507042253521127,0.45492262281766505,0.545077377182335,final_third
89,5550,Yann Sommer,Switzerland,UEFA Euro,2024,55,282,123,-0.004812502193764298,41.3,0.37398373983739835,0.3787962420311627,0.6212037579688373,own_box
90,6704,Theo Bernard François Hernández,France,UEFA Euro,2024,55,282,154,-0.004821501626216859,40.7,0.4025974025974026,0.4074189042236194,0.5925810957763806,left_half_space
91,3166,Marco Verratti,Italy,UEFA Euro,2020,55,43,162,-0.008967037149018442,40.0,0.4444444444444444,0.4534114815934629,0.5465885184065371,left_half_space
92,20004,Paul Pogba,France,UEFA Euro,2020,55,43,133,-0.009620562646514227,39.3,0.41353383458646614,0.4231543972329804,0.5768456027670197,final_third
93,5487,Antoine Griezmann,France,UEFA Euro,2022,55,106,269,-0.011064652282895554,38.7,0.4052044609665427,0.4162691132494383,0.5837308867505617,final_third
94,10534,Callum McGregor,Scotland,UEFA Euro,2024,55,282,126,-0.011706482716658717,38.0,0.47619047619047616,0.4878969589071349,0.5121030410928651,final_third
95,34639,Vitor Machado Ferreira,Portugal,UEFA Euro,2024,55,282,157,-0.01170735800357549,37.3,0.4394904458598726,0.4511978038634481,0.5488021961365519,final_third
96,5460,Andrej Kramarić,Croatia,UEFA Euro,2022,55,106,202,-0.011907194348646226,36.7,0.40594059405940597,0.4178477884080522,0.5821522115919477,final_third
97,5668,Robert Lewandowski,Poland,FIFA World Cup,2022,43,106,190,-0.012406918002211768,36.0,0.35789473684210527,0.37030165484431704,0.629698345155683,final_third
98,10955,Harry Kane,England,UEFA Euro,2020,55,43,347,-0.013495468978063242,35.3,0.34293948126801155,0.3564349502460748,0.6435650497539251,final_third
99,3533,Xherdan Shaqiri,Switzerland,UEFA Euro,2020,55,43,159,-0.016344636644278727,34.7,0.37735849056603776,0.3937031272103165,0.6062968727896836,final_third
100,16532,Daniel Olmo Carvajal,Spain,UEFA Euro,2020,55,43,379,-0.01813477040296601,34.0,0.3562005277044855,0.3743352981074515,0.6256647018925485,final_third
101,6655,Fabián Ruiz Peña,Spain,UEFA Euro,2024,55,282,213,-0.01994236932105438,33.3,0.41784037558685444,0.4377827449079088,0.5622172550920912,final_third
102,3959,Andreas Christensen,Denmark,UEFA Euro,2020,55,43,119,-0.02073479787954273,32.7,0.5126050420168067,0.5333398398963495,0.4666601601036505,final_third
103,7693,Bruno Petković,Croatia,UEFA Euro,2022,55,106,143,-0.021115210369559257,32.0,0.34965034965034963,0.3707655600199089,0.6292344399800911,final_third
104,8518,Marcel Sabitzer,Austria,UEFA Euro,2020,55,43,187,-0.024542221562409657,31.3,0.40641711229946526,0.4309593338618749,0.5690406661381251,final_third
105,7005,João Pedro Cavaco Cancelo,Portugal,UEFA Euro,2024,55,282,162,-0.026079863250670573,30.7,0.41975308641975306,0.44583294967042364,0.5541670503295764,final_third
106,11603,Mario Pašalić,Croatia,FIFA World Cup,2022,43,106,103,-0.026832774647219986,30.0,0.39805825242718446,0.42489102707440446,0.5751089729255956,final_third
107,3575,Oleksandr Zinchenko,Ukraine,UEFA Euro,2020,55,43,165,-0.0273815566375071,29.3,0.43636363636363634,0.46374519300114353,0.5362548069988564,final_third
108,20016,Kléper Laveran Lima Ferreira,Portugal,UEFA Euro,2024,55,282,134,-0.027567051991371723,28.7,0.44776119402985076,0.4753282460212225,0.5246717539787775,final_third
109,10287,İlkay Gündoğan,Germany,UEFA Euro,2024,55,282,144,-0.028247363871576232,28.0,0.4305555555555556,0.45880291942713175,0.5411970805728683,final_third
110,2995,Ángel Fabián Di María Hernández,Argentina,FIFA World Cup,2022,43,106,117,-0.028558258640294758,27.3,0.41025641025641024,0.43881466889670506,0.5611853311032949,final_third
111,5211,Jordi Alba Ramos,Spain,UEFA Euro,2020,55,43,138,-0.028672964261985075,26.7,0.4492753623188406,0.47794832658082564,0.5220516734191744,final_third
112,2988,Memphis Depay,Netherlands,UEFA Euro,2024,55,282,344,-0.03014241585677468,26.0,0.34593023255813954,0.3760726484149142,0.6239273515850858,final_third
113,11514,Giovanni Di Lorenzo,Italy,UEFA Euro,2020,55,43,125,-0.031109730223504793,25.3,0.4,0.4311097302235048,0.5688902697764953,final_third
114,16559,Leandro Trossard,Belgium,UEFA Euro,2024,55,282,112,-0.03187809398822548,24.7,0.39285714285714285,0.42473523684536835,0.5752647631546317,final_third
115,5721,Daniel Carvajal Ramos,Spain,UEFA Euro,2024,55,282,119,-0.03234590137708352,24.0,0.42016806722689076,0.4525139686039743,0.5474860313960257,right_half_space
116,3500,Granit Xhaka,Switzerland,UEFA Euro,2024,55,282,326,-0.03256134677196118,23.3,0.4662576687116564,0.4988190154836176,0.5011809845163824,final_third
